Datum;AgPosit;AgPosit%
2020-12-25;141.0;5.7
2020-12-26;212.0;8.7
2020-12-27;304.0;9.3
2020-12-28;6553.0;10.2
2020-12-29;6702.0;9.5
2020-12-30;5600.0;7.9
2020-12-31;5511.0;7.1
2021-01-01;590.0;6.3
2021-01-02;526.0;8.5
2021-01-03;272.0;8.0
2021-01-04;7358.0;9.9
2021-01-05;6121.0;8.4
2021-01-06;1028.0;6.6
2021-01-07;5311.0;7.1
2021-01-08;3931.0;5.1
2021-01-09;1887.0;3.1
2021-01-10;925.0;3.2
2021-01-11;3294.0;4.4
2021-01-12;3029.0;4.8
2021-01-13;2630.0;4.6
2021-01-14;2293.0;4.5
2021-01-15;2176.0;3.4
2021-01-16;1128.0;2.3
2021-01-17;1634.0;3.9
2021-01-18;3385.0;4.5
2021-01-19;2670.0;2.9
2021-01-20;2328.0;2.1
2021-01-21;3103.0;1.4
2021-01-22;2848.0;1.1
2021-01-23;6515.0;0.8
2021-01-24;3793.0;0.9
2021-01-25;2738.0;1.2
2021-01-26;2667.0;1.5
2021-01-27;1727.0;2.4
2021-01-28;2090.0;2.9
2021-01-29;2716.0;1.8
2021-01-30;4819.0;1.0
2021-01-31;2865.0;1.1
2021-02-01;3500.0;1.8
2021-02-02;3749.0;2.5
2021-02-03;2573.0;3.1
2021-02-04;2923.0;2.8
2021-02-05;3048.0;1.4
2021-02-06;5488.0;0.8
2021-02-07;3315.0;0.9
2021-02-08;3631.0;1.3
2021-02-09;3037.0;1.7
2021-02-10;2983.0;2.2
2021-02-11;2474.0;1.8
2021-02-12;3343.0;1.1
2021-02-13;4833.0;0.7
2021-02-14;2919.0;0.8
2021-02-15;3283.0;1.4
2021-02-16;2761.0;1.7
2021-02-17;2796.0;2.2
2021-02-18;2797.0;1.9
2021-02-19;3574.0;1.2
2021-02-20;5296.0;0.7
2021-02-21;2889.0;0.9
2021-02-22;3437.0;1.5
2021-02-23;2885.0;1.8
2021-02-24;3010.0;2.2
2021-02-25;2610.0;1.6
2021-02-26;3334.0;1.0
2021-02-27;5132.0;0.7
2021-02-28;2622.0;0.8
2021-03-01;3185.0;1.4
2021-03-02;2746.0;1.4
2021-03-03;2490.0;1.5
2021-03-04;2400.0;1.3
2021-03-05;2843.0;0.8
2021-03-06;3924.0;0.5
2021-03-07;2298.0;0.7
2021-03-08;2611.0;1.1
2021-03-09;2044.0;1.1
2021-03-10;1973.0;1.2
2021-03-11;1861.0;1.0
2021-03-12;2389.0;0.7
2021-03-13;3435.0;0.4
2021-03-14;1845.0;0.5
2021-03-15;2233.0;1.0
2021-03-16;1829.0;1.0
2021-03-17;1551.0;1.0
2021-03-18;1615.0;0.9
2021-03-19;2034.0;0.6
2021-03-20;2691.0;0.4
2021-03-21;1565.0;0.4
2021-03-22;1771.0;0.8
2021-03-23;1516.0;0.9
2021-03-24;1407.0;0.9
2021-03-25;1364.0;0.7
2021-03-26;1664.0;0.5
2021-03-27;2203.0;0.3
2021-03-28;1305.0;0.4
2021-03-29;1479.0;0.7
2021-03-30;1210.0;0.7
2021-03-31;1242.0;0.6
2021-04-01;1243.0;0.4
2021-04-02;623.0;0.4
2021-04-03;1956.0;0.3
2021-04-04;549.0;0.3
2021-04-05;639.0;0.6
2021-04-06;1479.0;0.5
2021-04-07;968.0;0.5
2021-04-08;806.0;0.5
2021-04-09;937.0;0.3
2021-04-10;1392.0;0.2
2021-04-11;735.0;0.2
2021-04-12;914.0;0.4
2021-04-13;693.0;0.4
2021-04-14;680.0;0.4
2021-04-15;674.0;0.4
2021-04-16;836.0;0.3
2021-04-17;1007.0;0.1
2021-04-18;635.0;0.2
2021-04-19;828.0;0.4
2021-04-20;647.0;0.4
2021-04-21;658.0;0.4
2021-04-22;563.0;0.4
2021-04-23;695.0;0.2
2021-04-24;934.0;0.1
2021-04-25;593.0;0.2
2021-04-26;702.0;0.3
2021-04-27;510.0;0.3
2021-04-28;502.0;0.4
2021-04-29;536.0;0.3
2021-04-30;646.0;0.2
2021-05-01;638.0;0.1
2021-05-02;497.0;0.2
2021-05-03;549.0;0.4
2021-05-04;382.0;0.4
2021-05-05;372.0;0.4
2021-05-06;389.0;0.4
2021-05-07;459.0;0.3
2021-05-08;272.0;0.2
2021-05-09;400.0;0.2
2021-05-10;434.0;0.4
2021-05-11;269.0;0.3
2021-05-12;279.0;0.4
2021-05-13;266.0;0.3
2021-05-14;353.0;0.2
2021-05-15;272.0;0.2
2021-05-16;250.0;0.2
2021-05-17;318.0;0.4
2021-05-18;226.0;0.3
2021-05-19;202.0;0.3
2021-05-20;172.0;0.2
2021-05-21;208.0;0.2
2021-05-22;192.0;0.2
2021-05-23;189.0;0.2
2021-05-24;264.0;0.3
2021-05-25;207.0;0.3
2021-05-26;142.0;0.2
2021-05-27;157.0;0.3
2021-05-28;170.0;0.2
2021-05-29;120.0;0.1
2021-05-30;126.0;0.2
2021-05-31;210.0;0.3
2021-06-01;134.0;0.3
2021-06-02;119.0;0.2
2021-06-03;133.0;0.3
2021-06-04;135.0;0.2
2021-06-05;74.0;0.1
2021-06-06;87.0;0.1
2021-06-07;148.0;0.3
2021-06-08;94.0;0.2
2021-06-09;50.0;0.1
2021-06-10;72.0;0.2
2021-06-11;84.0;0.1
2021-06-12;57.0;0.1
2021-06-13;57.0;0.1
2021-06-14;78.0;0.1
2021-06-15;47.0;0.1
2021-06-16;39.0;0.1
2021-06-17;43.0;0.1
2021-06-18;54.0;0.1
2021-06-19;23.0;0.0
2021-06-20;41.0;0.1
2021-06-21;59.0;0.1
2021-06-22;30.0;0.1
2021-06-23;31.0;0.1
2021-06-24;36.0;0.1
2021-06-25;33.0;0.1
2021-06-26;32.0;0.1
2021-06-27;22.0;0.1
2021-06-28;36.0;0.1
2021-06-29;24.0;0.1
2021-06-30;38.0;0.1
2021-07-01;11.0;0.1
2021-07-02;14.0;0.1
2021-07-03;8.0;0.1
2021-07-04;9.0;0.1
2021-07-05;9.0;0.1
2021-07-06;11.0;0.1
2021-07-07;15.0;0.1
2021-07-08;11.0;0.1
2021-07-09;17.0;0.1
2021-07-10;9.0;0.1
2021-07-11;8.0;0.1
2021-07-12;13.0;0.1
2021-07-13;14.0;0.2
2021-07-14;10.0;0.1
2021-07-15;9.0;0.1
2021-07-16;11.0;0.1
2021-07-17;8.0;0.1
2021-07-18;7.0;0.1
2021-07-19;17.0;0.2
2021-07-20;6.0;0.1
2021-07-21;16.0;0.2
2021-07-22;27.0;0.3
2021-07-23;10.0;0.1
2021-07-24;12.0;0.2
2021-07-25;12.0;0.2
2021-07-26;22.0;0.2
2021-07-27;18.0;0.2
2021-07-28;20.0;0.3
2021-07-29;16.0;0.2
2021-07-30;20.0;0.2
2021-07-31;11.0;0.2
2021-08-01;16.0;0.3
2021-08-02;33.0;0.3
2021-08-03;14.0;0.2
2021-08-04;12.0;0.2
2021-08-05;21.0;0.3
2021-08-06;23.0;0.2
2021-08-07;21.0;0.3
2021-08-08;14.0;0.3
2021-08-09;18.0;0.2
2021-08-10;29.0;0.4
2021-08-11;21.0;0.3
2021-08-12;26.0;0.3
2021-08-13;34.0;0.3
2021-08-14;21.0;0.3
2021-08-15;21.0;0.4
2021-08-16;45.0;0.3
2021-08-17;25.0;0.3
2021-08-18;54.0;0.5
2021-08-19;38.0;0.3
2021-08-20;51.0;0.3
2021-08-21;23.0;0.2
2021-08-22;40.0;0.5
2021-08-23;52.0;0.4
2021-08-24;29.0;0.3
2021-08-25;48.0;0.4
2021-08-26;64.0;0.5
2021-08-27;66.0;0.4
2021-08-28;51.0;0.5
2021-08-29;31.0;0.7
2021-08-30;95.0;0.7
2021-08-31;109.0;0.7
2021-09-01;52.0;1.3
2021-09-02;152.0;1.1
2021-09-03;146.0;0.8
2021-09-04;72.0;0.7
2021-09-05;88.0;1.0
2021-09-06;198.0;1.1
2021-09-07;175.0;1.1
2021-09-08;178.0;1.1
2021-09-09;185.0;1.0
2021-09-10;184.0;0.9
2021-09-11;110.0;0.9
2021-09-12;149.0;1.4
2021-09-13;292.0;1.2
2021-09-14;271.0;1.2
2021-09-15;92.0;1.5
2021-09-16;393.0;1.6
2021-09-17;284.0;1.0
2021-09-18;174.0;1.2
2021-09-19;197.0;1.4
2021-09-20;368.0;1.3
2021-09-21;322.0;1.3
2021-09-22;319.0;1.4
2021-09-23;296.0;1.2
2021-09-24;358.0;1.1
2021-09-25;225.0;1.5
2021-09-26;278.0;1.9
2021-09-27;596.0;1.8
2021-09-28;400.0;1.5
2021-09-29;348.0;1.5
2021-09-30;386.0;1.5
2021-10-01;432.0;1.5
2021-10-02;274.0;1.9
2021-10-03;325.0;2.2
2021-10-04;643.0;2.0
2021-10-05;515.0;1.8
2021-10-06;478.0;1.8
2021-10-07;473.0;1.8
2021-10-08;488.0;1.7
2021-10-09;248.0;1.9
2021-10-10;358.0;2.4
2021-10-11;702.0;2.1
2021-10-12;552.0;2.0
2021-10-13;512.0;2.0
2021-10-14;467.0;1.8
2021-10-15;579.0;2.0
2021-10-16;412.0;2.9
2021-10-17;650.0;3.6
2021-10-18;1177.0;3.2
2021-10-19;807.0;2.8
2021-10-20;612.0;3.1
